平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,你莓柿梅柿叭,南信山大联名—明德楼 济南·山东大学中心校区 ,0,0,3,https://m.weibo.cn/detail/P3Fpc3vfu,,2024-12-07 00:25:52
微博,HZHF120408,山东大学考研 考研倒计时！ 接615 822党史专业科社专业统战专业冲刺课辅导，感觉背不完的小朋友可以来啦 今年党史专业专业第一就是我带上岸滴 ,0,0,0,https://m.weibo.cn/detail/P3Fojk5E0,,2024-12-07 00:23:42
微博,十余年1992,26法硕2对1督学 两位学姐2对1建群辅导，两人全部一战上岸山东大学，且成绩排名前十。 提供的服务： 1.根据个人具体情况制定周计划，并按时督促打卡完成，帮助把握复习节奏和进度。 2.专业课问题答疑，及时帮助你解决问题。 3.背诵阶段帮助抽查背诵，加深印象。 4.政治英语的学习方法。 5.心理疏导。 6. ...全文,0,0,0,https://m.weibo.cn/detail/P3G4TAz36,,2024-12-07 02:08:37
微博,你莓柿梅柿叭,南信山大联名—明德楼 济南·山东大学中心校区 ,0,0,3,https://m.weibo.cn/detail/P3Fpc3vfu,,2024-12-07 00:25:52
微博,齐鲁晚报-今日菏泽,#走进山东省立医院菏泽医院专家团队# 山东省立医院菏泽医院科室骨干——感染性疾病科葛方启  葛方启，主任医师，1990年毕业于山东大学医学院。 2003年青岛大学医学院硕士研究生毕业。兼任菏泽市医学会传染病分会委员，菏泽市医学会肝病分会委员。 擅长：从事感染性疾病三十余年，擅长各型病毒性肝炎、 ...全文,0,0,0,https://m.weibo.cn/detail/P3FkHdoCX,,2024-12-07 00:14:47
微博,信网,【打造校企合作新高地 青岛机场集团与山东大学签署战略合作协议】前期，青岛机场集团与山东大学已有良好的合作基础，涉及员工健康体检、机场保障服务等领域。 打造校企合作新高地 青岛机场集团与山东大学签署战略合作协议 ,0,0,0,https://m.weibo.cn/detail/P3E3Ei88G,,2024-12-06 21:00:02
微博,____不吵不闹的六月,浅浅期待一下 #华为杯##研究生##数模##竞赛# 济南·山东大学中心校区 ,0,2,8,https://m.weibo.cn/detail/P3DRHeJiS,,2024-12-06 20:30:36
微博,紫色miao257,#何以中国弦歌不辍#  何以中国 | 海岱考古有了科技范儿 提到考古，你能想到什么？是戴着草帽在田间掘土，是用小铲子轻轻清理泥土，还是用毛刷拂去文物上的灰尘？如今，这种“刻板”印象或许要被“颠覆”了。在山东这片充满文化底蕴的土地上，科技考古正以其独特的魅力，引领着我们探索历史的智慧之光。 ...全文,0,0,0,https://m.weibo.cn/detail/P3DJIzns1,,2024-12-06 20:10:57
微博,济南校园,【#山东学子开始期末考了吗#】#山东学子期末绝不挂科# 13周后大学生有多忙碌…这简直是我的真实写照 via.岱岱的猫 济南校园的微博视频 ,3,3,10,https://m.weibo.cn/detail/P3Ds763GI,,2024-12-06 19:27:34
微博,白胡椒味儿的酸奶妹妹,回来点的第一个外卖就是红跑车 买了四个狂吃两个 济南·山东大学中心校区 ,0,0,2,https://m.weibo.cn/detail/P3DeWh9zP,,2024-12-06 18:55:07
