微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id,情感倾向
5172867354071043,PuzBZh53Z,三十天成为学习高手,2025-06-01 23:19:07,明日方舟加油站  老大们我又来了溜溜团里余量，欢迎进🐧制品多多！ ,0,0,0,中国,浙江,绍兴,zzz随便发点三次无关🫧🌟/黍/logos 多多多多坑杂食多多多多坑淡坑、、,86,16,女,https://weibo.com/u/6504615199,https://m.weibo.cn/detail/PuzBZh53Z,PuzBZh53Z,0.7891807521680838
5172867084064740,PuzByh3qk,用户shdbidnddnd,2025-06-01 23:18:03,卧槽明日方舟好无聊 ,0,0,0,中国,江苏,南京,没你想看的,458,8,女,https://weibo.com/u/7335529878,https://m.weibo.cn/detail/PuzByh3qk,PuzByh3qk,0.9686290396039753
5172866917862023,PuzBhwZgP,蝈蝈每天想打架,2025-06-01 23:17:23,明日方舟加油站 调价余量见图！群号在3✓ ,0,0,0,中国,广东,深圳,因为合理所以存在,786,95,女,https://weibo.com/u/5979972693,https://m.weibo.cn/detail/PuzBhwZgP,PuzBhwZgP,0.30634592869932886
5172866886665496,PuzBerY00,绅士砕月西瓜君,2025-06-01 23:17:15,《明日方舟》EP - Epilogue#哔哩哔哩动画# 《明日方舟》EP - Epilogue 这一首和See you soon，听一首就会忘记另一首的旋律，麻了 ,0,0,0,中国,福建,福州,是个没良心的幼稚笨蛋//痴迷动画的OPED//本人满脑子春，有评级大概会18+//伪宅//擅长浪费时间//爱好做梦//话痨而不会表达//长期手动删僵尸粉,2063,374,男,https://weibo.com/u/1729207962,https://m.weibo.cn/detail/PuzBerY00,PuzBerY00,0.988696733092175
5172866091584446,PuzzX6EbA,瀕死淡水魚,2025-06-01 23:14:06,明日方舟#德克萨斯0601生日快乐##德克萨斯#（总之速摸了一个。） ,1,0,4,中国,辽宁,大连,然而，然而。,63,81,男,https://weibo.com/u/7844420249,https://m.weibo.cn/detail/PuzzX6EbA,PuzzX6EbA,0.9069596851887459
5172865976505372,PuzzLrilm,黑眼圈太重zz,2025-06-01 23:13:39,六一建设幼稚园#明日方舟##傀影#明日方舟 ,0,0,0,中国,湖北,武汉,闲来无事摸鱼小废物，固定画风中,165,16,女,https://weibo.com/u/7797184152,https://m.weibo.cn/detail/PuzzLrilm,PuzzLrilm,0.830141843310779
5172386737426063,Pun6Nv9Rd,-栀子兔团冰茶-,2025-05-31 15:29:19,明日方舟 只有养猫的铲屎官最懂这句话的含金量#明日方舟红丝绒#  ,2,4,73,中国,广西,,🐰食用指南：请勿快转！偶尔掉落自己剪的视频，喜欢乱拍点生活的小风景！没看到消息就是大眼的问题哈！请不要直关，会不安,1295,1446,女,https://weibo.com/u/7386710586,https://m.weibo.cn/detail/Pun6Nv9Rd,Pun6Nv9Rd,0.9502068951012824
5172865811091380,Puzzv4zUU,-TRiDro-,2025-06-01 23:12:59,明日方舟#德克萨斯0601生日快乐# ,2,0,6,中国,北京,北京,*学业非常忙碌中* ➤一人之下/魔法使的约定/明日方舟 ☛诸葛青中心on！混杂注意！ 禁止一切自印无盈利、二次转载、AI及再创作。,156,219,男,https://weibo.com/u/7492247295,https://m.weibo.cn/detail/Puzzv4zUU,Puzzv4zUU,0.8524169831455816
5172825653772536,PuywJfPpm,兔子烧,2025-06-01 20:33:24,蕾缪安明日方舟#cos# ,10,16,119,中国,上海,上海,不吃葱,813,21.3万,女,https://weibo.com/u/1859026782,https://m.weibo.cn/detail/PuywJfPpm,PuywJfPpm,0.9764168567325281
5172865173033824,PuzytcJeE,烧仙草芦荟,2025-06-01 23:10:27,明日方舟加油站 推推长期群余量 价格是暂定均+-后  傀影上k序 ,0,0,0,中国,湖北,武汉,是一株烧仙草,381,108,女,https://weibo.com/u/5515027952,https://m.weibo.cn/detail/PuzytcJeE,PuzytcJeE,0.5832854756726664
5172865173033824,PuzytcJeE,烧仙草芦荟,2025-06-01 23:10:27,明日方舟加油站 推推长期群余量 价格是暂定均+-后  傀影上k序 ,0,0,0,中国,湖北,武汉,是一株烧仙草,381,108,女,https://weibo.com/u/5515027952,https://m.weibo.cn/detail/PuzytcJeE,PuzytcJeE,0.5832854756726664
